"","asc_dp","asc_do","asc_wp","asc_wo","asc_ba","asc_bp","asc_bo","beta_age_dp","beta_age_do","beta_age_wp","beta_age_wo","beta_age_ba","beta_age_bp","beta_age_bo","beta_female_dp","beta_female_do","beta_female_wp","beta_female_wo","beta_female_ba","beta_female_bp","beta_female_bo","beta_distance_dp","beta_distance_do","beta_distance_wp","beta_distance_wo","beta_distance_ba","beta_distance_bp","beta_distance_bo","beta_density_dp","beta_density_do","beta_density_wp","beta_density_wo","beta_density_ba","beta_density_bp","beta_density_bo","beta_school_dp","beta_school_do","beta_school_wp","beta_school_wo","beta_school_ba","beta_school_bp","beta_school_bo","beta_income_dp","beta_income_do","beta_income_wp","beta_income_wo","beta_income_ba","beta_income_bp","beta_income_bo"
"asc_dp",-2602.44650256599,17.2148432041584,1119.59584810432,346.610393540728,227.24705346372,139.449867774998,65.422084563217,-2602.44650256576,17.2148432041622,1119.59584811192,346.610393540721,227.247053463833,139.449867774929,65.4220845632221,-2602.44650256502,17.2148432041635,1119.59584811353,346.610393540875,227.24705346387,139.44986777496,65.4220845632214,-2602.44650256561,17.2148432041593,1119.59584811324,346.610393568979,227.247053463861,139.449867774991,65.422084563226,-2602.44650256639,17.2148432041613,1119.59584807175,346.610393569079,227.247053463818,139.449867774968,65.4220845632172,-2602.44650256095,17.2148432041632,1119.59584811136,346.610393569613,227.247053463295,139.44986777497,65.4220845632135,-2602.44650256612,17.2148432041607,1119.5958480673,346.610393569091,227.247053463164,139.449867774942,65.4220845632351
"asc_do",17.2148439598559,-29.9138325694129,5.49959656173097,1.70259544196836,1.11626656493055,0.684995583354433,0.3213616936711,17.2148439598544,-29.9138325694195,5.49959656176831,1.70259544196832,1.11626656493111,0.684995583354096,0.321361693671125,17.2148439598495,-29.9138325694218,5.49959656177768,1.70259544196908,1.11626656493129,0.684995583354248,0.321361693671121,17.2148439598562,-29.9138325694144,5.49959656177626,1.70259544197127,1.11626656493125,0.6849955833544,0.321361693671144,17.2148439598586,-29.913832569418,5.49959656177225,1.70259544197176,1.11626656493103,0.684995583354288,0.321361693671101,17.2148439631298,-29.9138325694212,5.49959656176552,1.70259544197438,1.11626656493133,0.6849955833521,0.321361693671083,17.2148439598568,-29.9138325694169,5.49959656175188,1.70259544197182,1.11626656493068,0.684995583351963,0.321361693671189
"asc_wp",1119.59585310769,5.49959838483127,-1593.31971402979,110.731056348365,72.5982403015235,44.549820680343,20.9002863910457,1119.59585310759,5.49959838483248,-1593.31971404061,110.731056348363,72.5982403015597,44.549820680321,20.9002863910473,1119.59585310727,5.49959838483291,-1593.31971404038,110.731056348412,72.5982403015716,44.549820680331,20.9002863910471,1119.59585310756,5.49959838483156,-1593.31971403996,110.731056406956,72.5982403015687,44.5498206803408,20.9002863910486,1119.59585310786,5.49959838483221,-1593.31971404196,110.731056406988,72.5982403015549,44.5498206803335,20.9002863910458,1119.595853501,5.49959838483281,-1593.31971403981,110.731056407159,72.598240300148,44.5498206803339,20.9002863910446,1119.59585310778,5.49959838483201,-1593.31971403311,110.731056406992,72.5982403001061,44.549820680325,20.9002863910515
"asc_wo",346.610393967252,1.70259580239035,110.731056557137,-569.718680551419,22.4753456931525,13.7919656632002,6.47041934875725,346.610393967222,1.70259580239073,110.731056557889,-569.718680551408,22.4753456931637,13.7919656631934,6.47041934875774,346.610393967124,1.70259580239086,110.731056558078,-569.718680551661,22.4753456931674,13.7919656631965,6.47041934875767,346.610393967257,1.70259580239044,110.73105655805,-569.718680552223,22.4753456931665,13.7919656631996,6.47041934875813,346.610393967306,1.70259580239064,110.731056555974,-569.718680552387,22.4753456931623,13.7919656631973,6.47041934875726,346.610393967219,1.70259580239083,110.731056557833,-569.718680553265,22.4753456931596,13.7919656631974,6.47041934875689,346.61039396728,1.70259580239058,110.731056555564,-569.718680535407,22.4753456931466,13.7919656631947,6.47041934875904
"asc_ba",227.247054519977,1.11626701166964,72.5982383758276,22.4753477252459,-381.262720675269,9.04238368571664,4.24217928012002,227.247054519958,1.11626701166989,72.5982383763205,22.4753477252455,-381.262720675459,9.04238368571219,4.24217928012035,227.247054519893,1.11626701166998,72.5982383765877,22.4753477252555,-381.262720675522,9.0423836857142,4.2421792801203,227.24705451995,1.1162670116697,72.598238376569,22.4753477252956,-381.262720675507,9.0423836857162,4.2421792801206,227.247054520013,1.11626701166984,72.5982383763822,22.4753477253021,-381.262720674894,9.04238368571473,4.24217928012003,227.24705452008,1.11626701166996,72.5982383762838,22.4753477253367,-381.26272067499,9.04238368571481,4.24217928011979,227.247054519991,1.1162670116698,72.5982383762568,22.4753477253028,-381.262720674769,9.04238368571299,4.2421792801212
"asc_bp",139.449868602729,0.684994729611674,44.5498208057066,13.7919693160324,9.04238523469687,-237.454923329093,2.60320914673977,139.449868602717,0.684994729611826,44.549820806009,13.7919693160321,9.04238523470138,-237.454923328976,2.60320914673997,139.449868602677,0.684994729611878,44.5498208062997,13.7919693160383,9.04238523470288,-237.454923329029,2.60320914673994,139.44986860271,0.68499472961171,44.5498208062882,13.7919693145923,9.04238523470251,-237.454923329081,2.60320914674012,139.449868602751,0.684994729611792,44.5498208060469,13.7919693145963,9.04238523470078,-237.454923308639,2.60320914673977,139.449868605421,0.684994729611866,44.5498208059865,13.7919693146176,9.04238523472779,-237.454923309332,2.60320914673963,139.449868602737,0.684994729611767,44.5498208060967,13.7919693145968,9.04238523472257,-237.454923329688,2.60320914674049
"asc_bo",65.4220826640003,0.321361401852454,20.9002841084088,6.4704224607198,4.24217887341384,2.60320913290219,-112.782509311539,65.4220826639947,0.321361401852525,20.9002841085507,6.47042246071968,4.24217887341595,2.60320913290091,-112.782509311548,65.4220826639761,0.32136140185255,20.9002841085864,6.47042246072256,4.24217887341665,2.60320913290149,-112.782509311391,65.4220826639918,0.321361401852471,20.900284108581,6.4704224607289,4.24217887341648,2.60320913290207,-112.782509311399,65.4220826640105,0.32136140185251,20.9002841085692,6.47042246073077,4.24217887341567,2.60320913290164,-112.782509311383,65.4220826623196,0.321361401852544,20.9002841085401,6.47042246074073,4.24217887341678,2.60320913290166,-112.782509311378,65.4220826640047,0.321361401852498,20.9002841084918,6.47042246073098,4.24217887341433,2.60320913290114,-112.782509320131
"beta_age_dp",-2602.44650242233,17.2148439948377,1119.59585913332,346.610395794893,227.247048323759,139.449864917612,65.4220830937797,-2602.4465024221,17.2148439948415,1119.59585914092,346.610395794886,227.247048323873,139.449864917543,65.4220830937847,-2602.44650242136,17.2148439948428,1119.59585914147,346.61039579504,227.24704832391,139.449864917574,65.422083093784,-2602.44650242195,17.2148439948386,1119.59585914118,346.610395887258,227.247048323901,139.449864917605,65.4220830937886,-2602.44650242273,17.2148439948407,1119.59585896493,346.610395887358,227.247048323858,139.449864917582,65.4220830937798,-2602.44650241043,17.2148439948425,1119.59585914036,346.610395887892,227.247048310071,139.449864917583,65.4220830937761,-2602.44650242246,17.21484399484,1119.59585895942,346.610395887369,227.24704830994,139.449864917555,65.4220830937978
"beta_age_do",17.2148438655467,-29.9138325621269,5.49959813579587,1.70259481398813,1.1162666799146,0.684995571180936,0.321361691045845,17.2148438655452,-29.9138325621335,5.49959813583321,1.7025948139881,1.11626667991516,0.684995571180599,0.321361691045869,17.2148438655403,-29.9138325621358,5.49959813584254,1.70259481398886,1.11626667991534,0.684995571180752,0.321361691045866,17.2148438657306,-29.9138325621285,5.49959813584111,1.70259481399104,1.1162666799153,0.684995571180903,0.321361691045888,17.2148438655494,-29.913832562132,5.49959813583761,1.70259481399154,1.11626667991509,0.684995571180791,0.321361691045845,17.2148438660505,-29.9138325621353,5.49959813583043,1.70259481399416,1.11626667991538,0.684995571180797,0.321361691045827,17.2148438655487,-29.913832562131,5.49959813581719,1.70259481399159,1.11626667991473,0.68499557118066,0.321361691045933
"beta_age_wp",1119.59585161067,5.49959848460606,-1593.31972121444,110.731055343307,72.5982406966365,44.5498198263012,20.9002859405421,1119.59585161057,5.49959848460728,-1593.31972122525,110.731055343304,72.5982406966727,44.5498198262793,20.9002859405437,1119.59585161025,5.4995984846077,-1593.31972122797,110.731055343354,72.5982406966847,44.5498198262892,20.9002859405434,1119.59585161053,5.49959848460635,-1593.31972122756,110.731055400446,72.5982406966817,44.5498198262991,20.9002859405449,1119.59585161084,5.499598484607,-1593.31972122661,110.731055400478,72.5982406966679,44.5498198262918,20.9002859405421,1119.59585162224,5.4995984846076,-1593.31972122445,110.731055400649,72.5982406966719,44.5498198262922,20.9002859405409,1119.59585161075,5.49959848460681,-1593.31972122071,110.731055400482,72.59824069663,44.5498198262833,20.9002859405478
"beta_age_wo",346.610393759201,1.70259579386299,110.731055312954,-569.718679593076,22.4753458279085,13.7919702074327,6.4704217051608,346.610393759171,1.70259579386336,110.731055313706,-569.718679593065,22.4753458279197,13.791970207426,6.4704217051613,346.610393759073,1.7025957938635,110.731055313895,-569.718679593319,22.4753458279234,13.791970207429,6.47042170516123,346.610393759176,1.70259579386308,110.731055313866,-569.718679595203,22.4753458279225,13.7919702074321,6.47042170516169,346.610393759255,1.70259579386328,110.731055313797,-569.718679595368,22.4753458279182,13.7919702074298,6.47042170516082,346.610393760869,1.70259579386346,110.731055313649,-569.718679596245,22.4753458279241,13.7919702074299,6.47042170516045,346.610393759226,1.70259579386322,110.731055313388,-569.718679533531,22.4753458279111,13.7919702074272,6.47042170516259
"beta_age_ba",227.247050412914,1.11626480625707,72.598247021873,22.4753425310356,-381.262721314401,9.0423837052799,4.24218187469883,227.247050412894,1.11626480625731,72.598247022366,22.4753425310352,-381.262721314592,9.04238370527545,4.24218187469916,227.24705041283,1.1162648062574,72.59824702249,22.4753425310452,-381.262721314655,9.04238370527746,4.24218187469911,227.247050412883,1.11626480625713,72.5982470224712,22.475342531767,-381.262721314639,9.04238370527946,4.24218187469941,227.247050412949,1.11626480625726,72.5982470224277,22.4753425317735,-381.262721314466,9.04238370527799,4.24218187469884,227.247050412991,1.11626480625738,72.5982470223292,22.4753425318081,-381.26272131456,9.04238370527807,4.2421818746986,227.247050412927,1.11626480625722,72.5982470221591,22.4753425317743,-381.26272131434,9.04238370527625,4.24218187470001
"beta_age_bp",139.449863963576,0.684996982212851,44.5498205589796,13.7919690435323,9.04238619233668,-237.454923269604,2.60320915105055,139.449863963564,0.684996982213003,44.549820559282,13.791969043532,9.04238619234119,-237.454923269487,2.60320915105075,139.449863963525,0.684996982213055,44.5498205593579,13.7919690435382,9.04238619234268,-237.45492326954,2.60320915105072,139.449863963556,0.684996982212887,44.5498205593463,13.7919690435517,9.04238619234232,-237.454923269592,2.60320915105091,139.449863963598,0.684996982212969,44.5498205593168,13.7919690435557,9.04238619234059,-237.454923269075,2.60320915105056,139.449863995593,0.684996982213043,44.5498205592595,13.7919690435769,9.04238619233427,-237.454923269634,2.60320915105041,139.449863963584,0.684996982212944,44.5498205591517,13.7919690435561,9.04238619232905,-237.454923270065,2.60320915105127
"beta_age_bo",65.4220840933995,0.321362020268943,20.9002861779587,6.47042034091403,4.24218179924961,2.60320913318503,-112.78250850573,65.4220840933938,0.321362020269014,20.9002861781006,6.4704203409139,4.24218179925172,2.60320913318374,-112.782508505739,65.4220840933752,0.321362020269038,20.9002861781363,6.47042034091678,4.24218179925242,2.60320913318432,-112.782508505537,65.42208409339,0.32136202026896,20.9002861781309,6.47042034092863,4.24218179925225,2.6032091331849,-112.782508505545,65.4220840934097,0.321362020268998,20.9002861781183,6.4704203409305,4.24218179925268,2.60320913318447,-112.782508505525,65.4220840934303,0.321362020269032,20.90028617809,6.47042034094046,4.24218179925316,2.6032091331845,-112.782508505524,65.4220840934098,0.321362020268986,20.900286178041,6.47042034092918,4.24218179925071,2.60320913318397,-112.782508505763
"beta_female_dp",-2602.44650383782,17.2148442923407,1119.59584571621,346.610393525229,227.247050360717,139.449866414005,65.4220846410246,-2602.4465038376,17.2148442923445,1119.59584572381,346.610393525222,227.24705036083,139.449866413936,65.4220846410296,-2602.44650383686,17.2148442923459,1119.59584572142,346.610393525377,227.247050360868,139.449866413967,65.4220846410289,-2602.44650383745,17.2148442923416,1119.59584572113,346.6103936127,227.247050360859,139.449866413998,65.4220846410335,-2602.44650383823,17.2148442923437,1119.59584569015,346.610393612801,227.247050360815,139.449866413975,65.4220846410248,-2602.44650380185,17.2148442923455,1119.59584572324,346.610393613334,227.247050360268,139.449866413976,65.422084641021,-2602.44650383796,17.2148442923431,1119.59584568171,346.610393612812,227.247050360137,139.449866413948,65.4220846410427
"beta_female_do",17.2148439576884,-29.9138325602651,5.49959709031002,1.70259551891632,1.11626662349752,0.684995648467088,0.321361693464174,17.2148439576869,-29.9138325602717,5.49959709034736,1.70259551891628,1.11626662349807,0.68499564846675,0.321361693464199,17.214843957682,-29.913832560274,5.49959709035466,1.70259551891704,1.11626662349826,0.684995648466903,0.321361693464195,17.2148439576862,-29.9138325602667,5.49959709035324,1.70259551921153,1.11626662349821,0.684995648467054,0.321361693464218,17.214843957691,-29.9138325602702,5.49959709035198,1.70259551921202,1.116266623498,0.684995648466943,0.321361693464175,17.214843958506,-29.9138325602735,5.49959709034458,1.70259551921464,1.11626662349829,0.684995648466949,0.321361693464156,17.2148439576893,-29.9138325602692,5.49959709032954,1.70259551921207,1.11626662349765,0.684995648466811,0.321361693464263
"beta_female_wp",1119.59585061107,5.49959873564061,-1593.31971227531,110.731055551307,72.5982445849448,44.5498196713937,20.9002853163395,1119.59585061097,5.49959873564182,-1593.31971228612,110.731055551304,72.598244584981,44.5498196713718,20.9002853163411,1119.59585061065,5.49959873564224,-1593.31971228884,110.731055551354,72.598244584993,44.5498196713817,20.9002853163409,1119.59585061117,5.4995987356409,-1593.31971228843,110.731055562137,72.59824458499,44.5498196713916,20.9002853163423,1119.59585061124,5.49959873564155,-1593.31971228715,110.731055562169,72.5982445849762,44.5498196713843,20.9002853163395,1119.59585067032,5.49959873564214,-1593.31971228532,110.73105556234,72.5982445849558,44.5498196713847,20.9002853163383,1119.59585061139,5.49959873564135,-1593.31971228125,110.731055394697,72.5982445849138,44.5498196713757,20.9002853163453
"beta_female_wo",346.61039376554,1.70259355434341,110.731049635081,-569.718670752338,22.4753478719296,13.7919697239411,6.47042186760468,346.610393765511,1.70259355434379,110.731049635833,-569.718670752327,22.4753478719408,13.7919697239343,6.47042186760517,346.610393765412,1.70259355434392,110.731049636022,-569.718670752581,22.4753478719445,13.7919697239373,6.4704218676051,346.610393765652,1.7025935543435,110.731049635993,-569.718670785555,22.4753478719436,13.7919697239404,6.47042186760556,346.610393765595,1.70259355434371,110.731049635867,-569.71867078572,22.4753478719393,13.7919697239381,6.47042186760469,346.610393751666,1.70259355434389,110.731049635777,-569.718670786597,22.4753478719276,13.7919697239383,6.47042186760432,346.61039376568,1.70259355434364,110.731049635457,-569.718670780331,22.4753478719146,13.7919697239355,6.47042186760646
"beta_female_ba",227.247050224887,1.11626694158602,72.598251890283,22.4753416651689,-381.262717687186,9.04238611977028,4.24218227772806,227.247050224867,1.11626694158626,72.5982518907759,22.4753416651684,-381.262717687376,9.04238611976582,4.24218227772839,227.247050224803,1.11626694158635,72.5982518909,22.4753416651784,-381.262717687439,9.04238611976784,4.24218227772834,227.247050224859,1.11626694158608,72.5982518908812,22.4753416652867,-381.262717687424,9.04238611976984,4.24218227772864,227.247050224923,1.11626694158621,72.5982518908376,22.4753416652932,-381.262717687302,9.04238611976836,4.24218227772807,227.247050224866,1.11626694158633,72.5982518907392,22.4753416653278,-381.262717687382,9.04238611976844,4.24218227772783,227.247050224904,1.11626694158617,72.5982518905691,22.475341665294,-381.262717687162,9.04238611976663,4.24218227772923
"beta_female_bp",139.44986764943,0.684994986503741,44.5498198129782,13.7919708918825,9.04238424601167,-237.454923109111,2.60320912742442,139.449867649418,0.684994986503893,44.5498198132806,13.7919708918822,9.04238424601618,-237.454923108994,2.60320912742462,139.449867649379,0.684994986503945,44.5498198135199,13.7919708918883,9.04238424601767,-237.454923109047,2.60320912742459,139.449867649402,0.684994986503777,44.5498198135084,13.7919708919041,9.0423842460173,-237.4549231091,2.60320912742477,139.449867649452,0.684994986503859,44.5498198072834,13.791970891908,9.04238424601558,-237.454923108359,2.60320912742442,139.449867657944,0.684994986503933,44.5498198132581,13.7919708919293,9.04238424601794,-237.454923108936,2.60320912742428,139.449867649438,0.684994986503834,44.5498198072818,13.7919708919085,9.04238424601272,-237.45492310959,2.60320912742514
"beta_female_bo",65.4220841301892,0.321361902607799,20.9002858821817,6.47042095403746,4.24218177173354,2.60320916727156,-112.782508859324,65.4220841301835,0.32136190260787,20.9002858823236,6.47042095403734,4.24218177173565,2.60320916727028,-112.782508859333,65.4220841301649,0.321361902607895,20.9002858823593,6.47042095404022,4.24218177173635,2.60320916727086,-112.782508859324,65.42208413018,0.321361902607816,20.9002858823539,6.47042095405331,4.24218177173618,2.60320916727143,-112.782508859332,65.4220841301994,0.321361902607855,20.9002858823414,6.47042095405519,4.24218177173537,2.60320916727101,-112.782508859317,65.4220841295747,0.321361902607889,20.900285882313,6.47042095406515,4.24218177172643,2.60320916727103,-112.782508859311,65.4220841302004,0.321361902607843,20.9002858822641,6.4704209540554,4.24218177172398,2.60320916727051,-112.782508859356
"beta_distance_dp",-2602.44649965248,17.2148438702242,1119.59584523369,346.610398017609,227.247056075308,139.449864506101,65.4220817055,-2602.44649965225,17.214843870228,1119.59584524129,346.610398017602,227.247056075421,139.449864506032,65.4220817055051,-2602.44649965151,17.2148438702293,1119.59584524256,346.610398017756,227.247056075459,139.449864506063,65.4220817055044,-2602.4464996521,17.2148438702251,1119.59584524227,346.610398035992,227.24705607545,139.449864506094,65.422081705509,-2602.44649965288,17.2148438702271,1119.59584516603,346.610398036093,227.247056075406,139.449864506071,65.4220817055002,-2602.44649964278,17.214843870229,1119.59584524072,346.610398036626,227.24705607489,139.449864506072,65.4220817054965,-2602.44649965261,17.2148438702265,1119.59584516125,346.610398036104,227.247056074759,139.449864506044,65.4220817055181
"beta_distance_do",17.2148442997842,-29.9138324088076,5.49959807773215,1.70259484878758,1.11626656583299,0.68499565997038,0.321361621063705,17.2148442997827,-29.9138324088142,5.49959807776949,1.70259484878755,1.11626656583354,0.684995659970042,0.32136162106373,17.2148442997778,-29.9138324088165,5.49959807777882,1.7025948487883,1.11626656583373,0.684995659970195,0.321361621063726,17.2148443004917,-29.9138324088092,5.49959807777739,1.70259484879049,1.11626656583368,0.684995659970346,0.321361621063749,17.2148442997869,-29.9138324088128,5.49959807777389,1.70259484879098,1.11626656583347,0.684995659970235,0.321361621063706,17.2148443002862,-29.913832408816,5.4995980777667,1.7025948487936,1.11626656583376,0.684995659970241,0.321361621063688,17.2148442997862,-29.9138324088117,5.49959807775347,1.70259484879104,1.11626656583312,0.684995659970103,0.321361621063794
"beta_distance_wp",1119.59585161619,5.49959788002862,-1593.3197141551,110.731054865289,72.5982412737941,44.549820969692,20.9002842323803,1119.59585161609,5.49959788002984,-1593.31971416592,110.731054865287,72.5982412738303,44.5498209696701,20.9002842323819,1119.59585161577,5.49959788003026,-1593.3197141686,110.731054865337,72.5982412738423,44.54982096968,20.9002842323817,1119.59585161609,5.49959788002891,-1593.31971416819,110.731055208675,72.5982412738393,44.5498209696898,20.9002842323832,1119.59585161636,5.49959788002956,-1593.31971416728,110.731055208707,72.5982412738255,44.5498209696826,20.9002842323804,1119.59585163614,5.49959788003016,-1593.31971416512,110.731055208877,72.5982412738161,44.549820969683,20.9002842323792,1119.59585161631,5.49959788002937,-1593.31971416134,110.73105520871,72.5982412737742,44.549820969674,20.9002842323861
